itemLabel,ICAO_airport_code,countryLabel,located_in_the_administrative_territorial_entityLabel,coordinate_location
Simon Bolivar International Airport,SKSM,Colombia,Santa Marta,Point(-74.23055556 11.11944444)
Minangkabau International Airport,WIPT,Indonesia,Padang Pariaman,Point(100.280555555 -0.786666666)
Queen Alia International Airport,OJAI,Jordan,Amman Governorate,Point(35.993333333 31.7225)
Chiang Mai International Airport,VTCC,Thailand,Suthep,Point(98.9625 18.766666666)
"Shiraz International Airport, Iran",OISS,Iran,Fars Province,Point(52.59 29.539166666)
San Jose International Airport,KSJC,United States of America,San Jose,Point(-121.929166666 37.362777777)
General Francisco J. Mujica International Airport,MMMM,Mexico,Michoacán,Point(-101.025277777 19.849722222)
Lubbock Preston Smith International Airport,KLBB,United States of America,Texas,Point(-101.820555555 33.663611111)
Isfahan International Airport,OIFM,Iran,Qahab-e Shomali Rural District,Point(51.861111111 32.750833333)
Jose Maria Cordova International Airport,SKRG,Colombia,Rionegro,Point(-75.426666666 6.167222222)
Kefalonia International Airport,LGKF,Greece,Argostoli,Point(20.500277777 38.12)
Rafael Núñez International Airport,SKCG,Colombia,Cartagena de Indias,Point(-75.512777777 10.442041666)
Kelowna International Airport,CYLW,Canada,British Columbia,Point(-119.378 49.9572)
Guiyang Longdongbao International Airport,ZUGY,People's Republic of China,Nanming District,Point(106.800833333 26.538611111)
Nanning Wuxu International Airport,ZGNN,People's Republic of China,Wuxu,Point(108.172441666 22.608266666)
Appleton International Airport,KATW,United States of America,Greenville,Point(-88.519166666 44.258055555)
Al Maktoum International Airport,OMDW,United Arab Emirates,Jebel Ali,Point(55.172222222 24.886111111)
Leipzig/Halle Airport,EDDP,Germany,Schkeuditz,Point(12.236388888 51.423888888)
Kyiv Zhuliany International Airport,UKKK,Ukraine,Solomianka Raion,Point(30.451666666 50.401666666)
Ufa International Airport,UWUU,Russia,Bashkortostan,Point(55.874166666 54.5575)
